lambda_h,lambda_a,lambda_c,delta,theta_auth,lambda_slack,eligible,failures,n,valid_n,invalid_n,safe_successes,protected_blocks,harmful_actions,false_blocks,safe_completion_rate_on_valid,harmful_action_rate_on_invalid,mean_check_cost,total_check_cost,positive_slack_rate,mean_slack,maximum_slack,triggered_authorization_harmful_actions,total_realized_harm
1.0,0.25,0.02,0.0,0.08,1.0,False,safe_completion,72,27,45,13,37,8,14,0.48148148148148145,0.17777777777777778,0.4722222222222223,34.00000000000001,0.0,0.0,0.0,0,3.55
1.0,0.25,0.02,0.0,0.12,1.0,False,safe_completion,72,27,45,13,35,10,14,0.48148148148148145,0.2222222222222222,0.4555555555555557,32.80000000000001,0.0,0.0,0.0,0,4.425
1.0,0.25,0.02,0.05,0.08,1.0,False,safe_completion,72,27,45,16,36,9,11,0.5925925925925926,0.2,0.5611111111111112,40.400000000000006,0.16666666666666666,0.008333333333333338,0.050000000000000266,0,4.074999999999999
1.0,0.25,0.02,0.05,0.12,1.0,False,safe_completion,72,27,45,16,34,11,11,0.5925925925925926,0.24444444444444444,0.5555555555555557,40.00000000000001,0.16666666666666666,0.008333333333333338,0.050000000000000266,0,4.95
1.0,0.25,0.05,0.0,0.08,1.0,False,safe_completion,72,27,45,12,39,6,15,0.4444444444444444,0.13333333333333333,0.44722222222222224,32.2,0.0,0.0,0.0,0,2.675
1.0,0.25,0.05,0.0,0.12,1.0,False,safe_completion,72,27,45,12,38,7,15,0.4444444444444444,0.15555555555555556,0.4194444444444445,30.200000000000006,0.0,0.0,0.0,0,3.025
1.0,0.25,0.05,0.05,0.08,1.0,False,safe_completion,72,27,45,14,38,7,13,0.5185185185185185,0.15555555555555556,0.5083333333333334,36.60000000000001,0.125,0.006250000000000004,0.050000000000000266,0,3.1999999999999997
1.0,0.25,0.05,0.05,0.12,1.0,False,safe_completion,72,27,45,14,37,8,13,0.5185185185185185,0.17777777777777778,0.47500000000000026,34.20000000000002,0.1111111111111111,0.005555555555555559,0.050000000000000266,0,3.55
1.0,0.25,0.1,0.0,0.08,1.0,False,safe_completion,72,27,45,11,40,5,16,0.4074074074074074,0.1111111111111111,0.41111111111111115,29.6,0.0,0.0,0.0,0,2.375
1.0,0.25,0.1,0.0,0.12,1.0,False,safe_completion,72,27,45,11,39,6,16,0.4074074074074074,0.13333333333333333,0.38333333333333336,27.6,0.0,0.0,0.0,0,2.725
1.0,0.25,0.1,0.05,0.08,1.0,False,safe_completion,72,27,45,13,39,6,14,0.48148148148148145,0.13333333333333333,0.46111111111111125,33.20000000000001,0.09722222222222222,0.004861111111111114,0.050000000000000266,0,2.9
1.0,0.25,0.1,0.05,0.12,1.0,False,safe_completion,72,27,45,13,38,7,14,0.48148148148148145,0.15555555555555556,0.4333333333333334,31.200000000000006,0.09722222222222222,0.004861111111111114,0.050000000000000266,0,3.25
1.0,0.25,0.2,0.0,0.08,1.0,False,safe_completion,72,27,45,11,41,4,16,0.4074074074074074,0.08888888888888889,0.3555555555555555,25.599999999999998,0.0,0.0,0.0,0,1.9250000000000003
1.0,0.25,0.2,0.0,0.12,1.0,False,safe_completion,72,27,45,11,41,4,16,0.4074074074074074,0.08888888888888889,0.3194444444444444,23.0,0.0,0.0,0.0,0,1.9250000000000003
1.0,0.25,0.2,0.05,0.08,1.0,False,safe_completion,72,27,45,13,41,4,14,0.48148148148148145,0.08888888888888889,0.3944444444444445,28.400000000000002,0.06944444444444445,0.0034722222222222207,0.050000000000000044,0,1.9250000000000003
1.0,0.25,0.2,0.05,0.12,1.0,False,safe_completion,72,27,45,13,41,4,14,0.48148148148148145,0.08888888888888889,0.35833333333333334,25.8,0.06944444444444445,0.0034722222222222207,0.050000000000000044,0,1.9250000000000003
1.0,0.5,0.02,0.0,0.08,1.0,False,safe_completion,72,27,45,23,33,12,4,0.8518518518518519,0.26666666666666666,0.5472222222222222,39.4,0.0,0.0,0.0,0,5.75
1.0,0.5,0.02,0.0,0.12,1.0,False,safe_completion,72,27,45,23,30,15,4,0.8518518518518519,0.3333333333333333,0.5333333333333333,38.4,0.0,0.0,0.0,0,7.425000000000001
1.0,0.5,0.02,0.05,0.08,1.0,False,safe_completion;slack_rate,72,27,45,25,32,13,2,0.9259259259259259,0.28888888888888886,0.6694444444444446,48.20000000000001,0.2916666666666667,0.01458333333333335,0.050000000000000266,0,6.45
1.0,0.5,0.02,0.05,0.12,1.0,False,safe_completion;slack_rate,72,27,45,25,30,15,2,0.9259259259259259,0.3333333333333333,0.6611111111111112,47.60000000000001,0.2916666666666667,0.01458333333333335,0.050000000000000266,0,7.325
1.0,0.5,0.05,0.0,0.08,1.0,False,safe_completion,72,27,45,23,33,12,4,0.8518518518518519,0.26666666666666666,0.5444444444444444,39.199999999999996,0.0,0.0,0.0,0,5.75
1.0,0.5,0.05,0.0,0.12,1.0,False,safe_completion,72,27,45,23,30,15,4,0.8518518518518519,0.3333333333333333,0.5305555555555554,38.199999999999996,0.0,0.0,0.0,0,7.425000000000001
1.0,0.5,0.05,0.05,0.08,1.0,False,safe_completion,72,27,45,25,32,13,2,0.9259259259259259,0.28888888888888886,0.6527777777777779,47.00000000000001,0.25,0.012500000000000013,0.050000000000000266,0,6.45
1.0,0.5,0.05,0.05,0.12,1.0,False,safe_completion,72,27,45,25,29,16,2,0.9259259259259259,0.35555555555555557,0.6333333333333334,45.60000000000001,0.2361111111111111,0.011805555555555567,0.050000000000000266,0,8.125
1.0,0.5,0.1,0.0,0.08,1.0,False,safe_completion,72,27,45,22,33,12,5,0.8148148148148148,0.26666666666666666,0.5166666666666666,37.199999999999996,0.0,0.0,0.0,0,5.75
1.0,0.5,0.1,0.0,0.12,1.0,False,safe_completion,72,27,45,22,30,15,5,0.8148148148148148,0.3333333333333333,0.5027777777777778,36.199999999999996,0.0,0.0,0.0,0,7.425000000000001
1.0,0.5,0.1,0.05,0.08,1.0,False,safe_completion,72,27,45,25,32,13,2,0.9259259259259259,0.28888888888888886,0.5972222222222223,43.00000000000001,0.16666666666666666,0.008333333333333338,0.050000000000000266,0,6.45
1.0,0.5,0.1,0.05,0.12,1.0,False,safe_completion,72,27,45,25,29,16,2,0.9259259259259259,0.35555555555555557,0.577777777777778,41.60000000000001,0.1527777777777778,0.007638888888888894,0.050000000000000266,0,8.125
1.0,0.5,0.2,0.0,0.08,1.0,False,safe_completion,72,27,45,22,33,12,5,0.8148148148148148,0.26666666666666666,0.4027777777777777,28.999999999999993,0.0,0.0,0.0,0,5.675
1.0,0.5,0.2,0.0,0.12,1.0,False,safe_completion,72,27,45,22,31,14,5,0.8148148148148148,0.3111111111111111,0.37222222222222207,26.79999999999999,0.0,0.0,0.0,0,6.825
1.0,0.5,0.2,0.05,0.08,1.0,False,safe_completion,72,27,45,24,32,13,3,0.8888888888888888,0.28888888888888886,0.4555555555555555,32.8,0.1111111111111111,0.005555555555555559,0.050000000000000266,0,6.375
1.0,0.5,0.2,0.05,0.12,1.0,False,safe_completion,72,27,45,24,30,15,3,0.8888888888888888,0.3333333333333333,0.41944444444444434,30.199999999999992,0.09722222222222222,0.004861111111111114,0.050000000000000266,0,7.525
1.0,0.75,0.02,0.0,0.08,1.0,False,safe_completion,72,27,45,23,32,13,4,0.8518518518518519,0.28888888888888886,0.55,39.6,0.0,0.0,0.0,0,6.550000000000001
1.0,0.75,0.02,0.0,0.12,1.0,False,safe_completion,72,27,45,23,29,16,4,0.8518518518518519,0.35555555555555557,0.5333333333333333,38.4,0.0,0.0,0.0,0,8.225
