source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Crossref,10.5753/sbes.2025.11121,10.5753/sbes.2025.11121,Effort Estimation in Story Points from User Stories with Large Language Models,"<jats:p>A estimativa de esforço em projetos ágeis continua sendo um desafio recorrente, especialmente quando os story points precisam ser inferidos apenas a partir do texto das user stories. Estudos anteriores focaram principalmente em abordagens de aprendizagem de máquina para predizer o esforço, mas a recente disponibilidade de Large Language Models (LLMs) oferece uma alternativa. O objetivo do artigo é investigar a eficácia dos LLMs em estimar story points. Um derivado do modelo BERT foi ajustado (fine-tuning) e comparado, em relação ao erro médio absoluto, a três baselines: (i) um modelo preditivo tradicional baseado em vetores TF-IDF acoplados a um classificador de Regressão Linear, (ii) um modelo LLM Zero Shot, e (iii) um modelo LLM few shot. Foi utilizado um conjunto de dados de user stories de projetos reais de desenvolvimento de software ágil, o Deep-SE, um dataset com várias User Stories de 16 projetos open-source diferentes retirados do Jira. Os resultados mostram que o LLM ajustado teve MAE menor na maioria dos projetos. Os achados sugerem que, apesar do custo computacional maior, LLMs constituem uma alternativa com menor erro para a estimativa de esforço do que as técnicas comparadas.</jats:p>",2025-09-22,Giseldo da Silva Neo; José Antão Beltrão Moura; Alana Viana Borges da Silva Neo; Olival de Gusmão Freitas Júnior,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),proceedings-article,0,https://doi.org/10.5753/sbes.2025.11121
Crossref,10.1007/979-8-8688-1001-5_1,10.1007/979-8-8688-1001-5_1,Introduction to Generative AI and Large Language Models (LLMs),,2024,Banu Parasuraman,Mastering Spring AI,book-chapter,4,https://doi.org/10.1007/979-8-8688-1001-5_1
Crossref,10.36227/techrxiv.173121396.62005552/v2,10.36227/techrxiv.173121396.62005552/v2,"Imperfectly Perfect AI Chatbots: Limitations of Generative AI, Large Language Models and Large Multimodal Models","<jats:p>Generative AI has transformed the landscape of AI chatbots in a way that they are increasingly becoming human-like in their understanding and working. Generative AI is used for creating new contents, and most modern AI chatbots are designed using two types of generative AI models: Large Language Models (LLMs) and Large Multimodal Model (LMMs). LLMs deal with the text, whereas LMMs deal with more modalities including text, image, audio and video. This continuous enhancement of generative AI models is bringing AI chatbots closer to the human working. Nonetheless, these AI chatbots are not perfect, as they have several limitations, and their users should comprehend before fully relying on these imperfectly perfect AI chatbots. Depending on the type of use of AI chatbots, these limitations may or may not impact them significantly. This paper will organise the limitations of AI chatbots into six main categories: intelligence and understanding related limitations; accuracy and credibility related limitations; ethics and regulations related limitations; accountability, transparency and consistency related limitations; design, coding and training related limitations; and human, machine and vender related limitations. The aim of this paper is to emphasise, organise and analyse numerous limitations of AI chatbots into the proposed categories; accordingly, users should become more cognisant about all these limitations in deciding their suitability or unsuitability for the specific use cases.</jats:p>",2024-12-10,Dishita Naik; Ishita Naik; Nitin Naik,,posted-content,8,https://doi.org/10.36227/techrxiv.173121396.62005552/v2
Crossref,10.36227/techrxiv.173121396.62005552/v1,10.36227/techrxiv.173121396.62005552/v1,"Imperfectly Perfect AI Chatbots: Limitations of Generative AI, Large Language Models and Large Multimodal Models","<jats:p>Generative AI has transformed the landscape of AI chatbots in a way that they are increasingly becoming human-like in their understanding and working. Generative AI is used for creating new contents, and most modern AI chatbots are designed using two types of generative AI models: Large Language Models (LLMs) and Large Multimodal Model (LMMs). LLMs deal with the text, whereas LMMs deal with more modalities including text, image, audio and video. This continuous enhancement of generative AI models is bringing AI chatbots closer to the human working. Nonetheless, these AI chatbots are not perfect, as they have several limitations, and their users should comprehend before fully relying on these imperfectly perfect AI chatbots. Depending on the type of use of AI chatbots, these limitations may or may not impact them significantly. This paper will organise the limitations of AI chatbots into six main categories: intelligence and understanding related limitations; accuracy and credibility related limitations; ethics and regulations related limitations; accountability, transparency and consistency related limitations; design, coding and training related limitations; and human, machine and vender related limitations. The aim of this paper is to emphasise, organise and analyse numerous limitations of AI chatbots into the proposed categories; accordingly, users should become more cognisant about all these limitations in deciding their suitability or unsuitability for the specific use cases.</jats:p>",2024-11-10,Dishita Naik; Ishita Naik; Nitin Naik,,posted-content,7,https://doi.org/10.36227/techrxiv.173121396.62005552/v1
Crossref,10.36227/techrxiv.173121409.91676949/v1,10.36227/techrxiv.173121409.91676949/v1,"Applications of AI Chatbots Based on Generative AI, Large Language Models and Large Multimodal Models","<jats:p>AI chatbots are progressively becoming more human-like in their creativity and intelligence. Predominantly, AI chatbots based on generative AI models such as Large Language Models (LLMs) and Large Multimodal Model (LMMs) are a significant breakthrough in AI, as they have become more accurate, creative, context-aware, and can better mimic human-like interactions. Generative AI is an umbrella term for all AI technologies used to generate contents, where LLMs can process and generate textual data, and LMMs can process and generate multiple types of data modalities which are also known as multimodal AI models. AI chatbots and multimodal AI models offer several benefits, such as speed, accuracy, creativity, efficiency, and versatility; therefore, they can be used in nearly every sector such as a content creator, proactive assistant, reliable companion, customer assistant, and business operations facilitator. Nonetheless, these AI chatbots and multimodal AI models have some limitations, specially, inaccuracy and hallucination; that can affect and limit their usage for any critical task in any application area. Therefore, human verification and supervision is required for its reliable, safe and guided use. Moreover, their use in any application area also requires appropriate ethical consideration and regulatory compliance, alongside the human verification of generated responses. This paper will present twenty-two applications of AI chatbots and multimodal AI models, which are organised into two categories: personal applications and organisational applications. Subsequently, it will also describe the crucial ethical consideration and regulatory compliance for each application area to emphasise its related ethics, regulations and other risks for humans.</jats:p>",2024-11-10,Dishita Naik; Ishita Naik; Nitin Naik,,posted-content,18,https://doi.org/10.36227/techrxiv.173121409.91676949/v1
Crossref,10.1007/978-1-4842-9367-6_5,10.1007/978-1-4842-9367-6_5,Large Language Models,,2023,Tom Taulli,Generative AI,book-chapter,9,https://doi.org/10.1007/978-1-4842-9367-6_5
Crossref,10.70528/ijlrp.v5.i12.1586,10.70528/ijlrp.v5.i12.1586,Enhancing Software Testing Efficiency with Generative AI and Large Language Models,"<jats:p>This research introduces a Generative AI-powered software testing framework for improving the efficiency, precision, and speed of software quality assurance activities. Utilizing Large Language Models(LLMs) like GPT-4, CodeT5, and StarCoder, the framework streamlines test case generation, document analysis, and code rationalization through increased contextual understanding. Some of the key capabilities built into the system are intelligent test planning, memory-based prompt expansion, and service orchestration for smooth interfacing with code bases and test environments. Methods like Retrieval-Augmented Generation (RAG), prompt tuning, and hallucination removal further increase output dependability and traceability. The architecture introduced here minimizes human effort by a large extent, increases test coverage correctness, and shortens total testing cycles, providing a scalable solution to contemporary software development pipe.</jats:p>",2024-12-07,Mohnish Neelapu -,International Journal of Leading Research Publication,journal-article,0,https://doi.org/10.70528/ijlrp.v5.i12.1586
Crossref,10.3390/books978-3-7258-7704-1,10.3390/books978-3-7258-7704-1,Generative AI and Large Language Models,,2026-05-26,,,book,0,https://doi.org/10.3390/books978-3-7258-7704-1
Crossref,10.2139/ssrn.4761694,10.2139/ssrn.4761694,Exploring Mathematical Spaces using Generative AI and Large Language Models,"<jats:p>Large language models (LLMs) and generative AI (GenAI) technologies have recently reached to unprecedented capabilities thanks to rich mathematical spaces and rigorous mathematical transformations and techniques. Such models can now be used for automating certain human-level tasks such as text summarization, knowledge extraction from huge digital data, and even more. In particular, LLMs and GenAI technologies have the potential to be used for achieving one of the foundational goals of artificial intelligence, namely to develop AI systems that can do mathematical/logical reasoning.&lt;br&gt;&lt;br&gt;In this article, we promote the idea of using generative AI and LLMs for advancing mathematical research. We discuss that language models and AI technologies can be used for exploring mathematical spaces. AI and LLMs have the potential to push forward the boundaries of human knowledge, including human’s understanding of mathematical spaces, structures, objects, and transformations. In the same vein that computation emerged out (or spun off) of mathematics and accelerated mathematical research, large language models rely heavily on mathematical spaces and transformations on such spaces. Just like computation, LLMs can can help us boost our knowledge of mathematical spaces and to potentially open up new horizons on the abstract world of mathematical objects, structures, and spaces.</jats:p>",2024,Mohammad Raeini,,posted-content,0,https://doi.org/10.2139/ssrn.4761694
Crossref,10.31228/osf.io/bheqw,10.31228/osf.io/bheqw,Generative AI Large Language Models and Researching the Law,"<p>Generative AI Large Language Models (LLMs) are rapidly influencing the legal research landscape, challenging the traditional cognitive authority within the profession. This article explores how these models, despite their potential to simplify the vast amount of legal information, may also introduce risks of misinformation due to AI ""hallucinations"" and the advantages and limitations of retrieval-augmented generation (RAG) systems. By examining various legal research problems, the article highlights both the capabilities and shortcomings of generative AI in legal contexts. It emphasizes the need for vigilance, critical thinking, and a continued reliance on traditional research methods to mitigate the risks associated with over-reliance on AI-generated content. As the legal profession confronts an overwhelming influx of information, the role of AI in legal research will likely grow, making it crucial to balance cognitive ease with accuracy and reliability.</p>",2024-08-16,Paul Douglas Callister,,posted-content,0,https://doi.org/10.31228/osf.io/bheqw
