canonical_id,family_id,representative
CAN-00042260afb738fb6082,FAM-980e9f3df5ce5cec625f,true
CAN-000a6180379ccd76942f,FAM-ce89f79ac356967fc0fc,true
CAN-001db543bf3636cbd611,FAM-a0e328087b7fadfe3ee0,true
CAN-0030e8ae081339804f61,FAM-334513d9b9639147b083,true
CAN-003e493a692bfa73f456,FAM-18f12562aebd0b568047,true
CAN-0041099d29a9cf991006,FAM-80ae2f0a76a03f39efb7,true
CAN-0043423a26ee4ec764e6,FAM-e744d063e8bad7a7cbdd,true
CAN-0045ecec9344b9f5dced,FAM-3687ee43b97dcb0def91,true
CAN-004ab759ba672eeafc7f,FAM-5b1ad27c9630903f4d28,true
CAN-00565d5eb744385b2ae1,FAM-19c0b817bf29fd9b6108,true
CAN-006d9762941486355adb,FAM-5866dbfbfc561fb5d748,true
CAN-00968dc9ad563b010bb2,FAM-f4f4f8a70daf0ec7bebc,true
CAN-00ae051ecfca2ecf6d4b,FAM-aa7f05161b5f842b4b3f,true
CAN-00bda9967a55a60c4b3a,FAM-35916991ba1276909cc4,true
CAN-00cf052ffd3b1fb73386,FAM-5d397e5b73beda0c3855,true
CAN-00d57b2c72bdcee27646,FAM-da1fda210bb60d4b1863,true
CAN-00e8e4ef48ced4b1f261,FAM-d9a6370b9a2b5b415d7f,true
CAN-00ee4e48a211fb3df6db,FAM-01574f28e5c836af61fe,true
CAN-00fcca86a4b9d81f4252,FAM-0ddb10c8c2c490781e19,true
CAN-01059601929b73a33398,FAM-ad86f76aaa889b7e3e8b,true
CAN-011cd24f1b3bbc9a0377,FAM-373fcfaee2a677cbe549,true
CAN-011f270536f00fd48569,FAM-fc12080387305e10b693,true
CAN-0125423abe3268eca5f8,FAM-dcb36d3857a02006605b,true
CAN-013db7447c933e34123b,FAM-b07f99be7223eae271d6,true
CAN-013e04935bff3959a605,FAM-b0578b86212d870b7604,true
CAN-01411c29632f361687fe,FAM-db7a7d6cc9b7b351ed17,true
CAN-0145649455b287629872,FAM-136c07c746ad9d0adbe4,true
CAN-0151ac5a0bf270fb2e04,FAM-d7900e8c1bfb3af9b010,true
CAN-0180b0ec0a26c540fad9,FAM-86fd9fd6aa438642d6fc,true
CAN-0187aaf45fe1ebffb2c2,FAM-0865a3675276b0d86dc4,true
CAN-0196a76067ae5fe7e90d,FAM-2b740f42c7a4f78d5580,true
CAN-01ad28917f5274bd404a,FAM-fcb99c96c46a4d003ad1,true
CAN-01ca26e94f7afc7bab1e,FAM-3b1ae47d79d6b6cb928b,true
