status,scenario_id,model,deployable,n_runs,n_items,brier_score,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_replications,brier_delta_vs_story_points,delta_ci_low,delta_ci_high
developmental_synthetic_not_empirical_validation,baseline_bottleneck,story_points,true,24,288,0.1245287060140089,0.0400244556681102,0.2155332833095921,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,baseline_bottleneck,hie_compatible,true,24,288,0.12106103214775733,0.04313763846056498,0.2052182973299251,5000,-0.0034676738662515693,-0.007198050232179326,-3.752955032940827e-06
developmental_synthetic_not_empirical_validation,baseline_bottleneck,simple_role_load,true,24,288,0.12424710656907571,0.0464796018810103,0.21173554934314928,5000,-0.00028159944493320936,-0.0005574212711067832,-3.532995727823812e-05
developmental_synthetic_not_empirical_validation,baseline_bottleneck,proposed_model,true,24,288,0.12060784004712873,0.049296970007164174,0.2042297071949699,5000,-0.00392086596688014,-0.00820646992396139,5.8623421838155584e-05
developmental_synthetic_not_empirical_validation,baseline_bottleneck,oracle,false,24,288,0.1145351080246914,0.053192515432098776,0.18610146604938274,5000,-0.009993597989317538,-0.03012603937702694,0.005973510697486483
developmental_synthetic_not_empirical_validation,baseline_hie,story_points,true,24,288,0.10827788863979763,0.036774292193267936,0.19603230246053857,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,baseline_hie,hie_compatible,true,24,288,0.10547635341031887,0.036903766965589585,0.18651668284499892,5000,-0.002801535229478761,-0.006265456140697391,0.0001294747723216206
developmental_synthetic_not_empirical_validation,baseline_hie,simple_role_load,true,24,288,0.1080455430923954,0.033518351099666076,0.19553398586646897,5000,-0.00023234554740221862,-0.0004884658145633962,-5.777618759640837e-06
developmental_synthetic_not_empirical_validation,baseline_hie,proposed_model,true,24,288,0.10563547385647278,0.0337475304340167,0.1900256683089213,5000,-0.002642414783324804,-0.005882033434273103,0.00022340171559099114
developmental_synthetic_not_empirical_validation,baseline_hie,oracle,false,24,288,0.10145399305555551,0.0425708912037037,0.1737196180555555,5000,-0.0068238955842420635,-0.021739025559770402,0.005796599010435763
developmental_synthetic_not_empirical_validation,baseline_sp,story_points,true,24,288,0.15053001381274697,0.05952543651716374,0.2447847545831725,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,baseline_sp,hie_compatible,true,24,288,0.14599651812765888,0.05872231719800345,0.2395045905522897,5000,-0.004533495685088069,-0.008930010687788627,-0.0008031193191603102
developmental_synthetic_not_empirical_validation,baseline_sp,simple_role_load,true,24,288,0.15016960813176414,0.05944085266235453,0.24737898899184588,5000,-0.00036040568098280053,-0.000656175335656446,-8.458385480922808e-05
developmental_synthetic_not_empirical_validation,baseline_sp,proposed_model,true,24,288,0.1487181715891283,0.059133074326610156,0.2447022043703977,5000,-0.0018118422236186912,-0.0033327136876170043,-0.00039236219055360875
developmental_synthetic_not_empirical_validation,baseline_sp,oracle,false,24,288,0.13421103395061731,0.06804591049382717,0.21219135802469136,5000,-0.016318979862129667,-0.04384198183886378,0.008520473976663405
developmental_synthetic_not_empirical_validation,edge_no_rework,story_points,true,24,288,0.0010224939700031156,0.0010224939700031156,0.0010224939700031156,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,edge_no_rework,hie_compatible,true,24,288,0.0026174737432249264,0.0026174737432249264,0.0026174737432249264,5000,0.0015949797732218096,0.0015949797732218096,0.0015949797732218096
developmental_synthetic_not_empirical_validation,edge_no_rework,simple_role_load,true,24,288,0.0011152241463054668,0.0011152241463054668,0.0011152241463054668,5000,9.273017630235191e-05,9.273017630235191e-05,9.273017630235191e-05
developmental_synthetic_not_empirical_validation,edge_no_rework,proposed_model,true,24,288,0.0011152241463054668,0.0011152241463054668,0.0011152241463054668,5000,9.273017630235191e-05,9.273017630235191e-05,9.273017630235191e-05
developmental_synthetic_not_empirical_validation,edge_no_rework,oracle,false,24,288,0.0,0.0,0.0,5000,-0.0010224939700031156,-0.0010224939700031156,-0.0010224939700031156
developmental_synthetic_not_empirical_validation,edge_severe_queue,story_points,true,24,1152,0.5656907173781965,0.5586558330395612,0.572725601716832,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,edge_severe_queue,hie_compatible,true,24,1152,0.472540696336716,0.46758118201265636,0.4775002106607757,5000,-0.09315002104148067,-0.09463915069450357,-0.09166089138845772
developmental_synthetic_not_empirical_validation,edge_severe_queue,simple_role_load,true,24,1152,0.161438034116244,0.15526502954038726,0.1676110386921007,5000,-0.40425268326195285,-0.4180217544106137,-0.39163103470901356
developmental_synthetic_not_empirical_validation,edge_severe_queue,proposed_model,true,24,1152,0.16829900164169717,0.16094606745351045,0.17565193582988392,5000,-0.3973917157364995,-0.412447982825884,-0.3835901375712303
developmental_synthetic_not_empirical_validation,edge_severe_queue,oracle,false,24,1152,0.16083140432098758,0.15512876157407393,0.16653404706790123,5000,-0.4048593130572089,-0.4170105997812052,-0.39160336390375877
developmental_synthetic_not_empirical_validation,load_high,story_points,true,24,864,0.39466828634024437,0.37694468299659784,0.41239188968389096,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,load_high,hie_compatible,true,24,864,0.35762190502922037,0.34219387223153414,0.3722379361007125,5000,-0.03704638131102407,-0.039221132354565584,-0.034629991262644634
developmental_synthetic_not_empirical_validation,load_high,simple_role_load,true,24,864,0.2495205250439062,0.2484627016669893,0.25057695837696364,5000,-0.1451477612963383,-0.16181493130692737,-0.12760337181150763
developmental_synthetic_not_empirical_validation,load_high,proposed_model,true,24,864,0.26444702947585325,0.26004007692708536,0.2690859268956089,5000,-0.13022125686439118,-0.15235181275680568,-0.1069259348723759
developmental_synthetic_not_empirical_validation,load_high,oracle,false,24,864,0.24951640732167357,0.24849831747256526,0.25043268818587117,5000,-0.14515187901857082,-0.1619082970055645,-0.12839546103157717
developmental_synthetic_not_empirical_validation,load_low,story_points,true,24,144,0.11296365257128016,0.03363141465508197,0.21212894996652787,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,load_low,hie_compatible,true,24,144,0.11043156725898125,0.033531629566167474,0.20655648937499838,5000,-0.0025320853122989657,-0.005572460591529577,-9.97850889144701e-05
developmental_synthetic_not_empirical_validation,load_low,simple_role_load,true,24,144,0.11473310093553307,0.03390444852577397,0.215768916447732,5000,0.0017694483642528751,0.0002730338706919954,0.0036399664812039735
developmental_synthetic_not_empirical_validation,load_low,proposed_model,true,24,144,0.11285300102995731,0.03361911592206564,0.21189535741482188,5000,-0.00011065154132289014,-0.0002335925517060862,-1.2298733016335168e-05
developmental_synthetic_not_empirical_validation,load_low,oracle,false,24,144,0.10411844135802469,0.04046103395061727,0.1889949845679012,5000,-0.008845211213255514,-0.028438749349244053,0.00682961929553532
developmental_synthetic_not_empirical_validation,recovery_service_high,story_points,true,24,288,0.1472798503379047,0.059525436517163764,0.24153459110833028,5000,0.0,0.0,0.0
developmental_synthetic_not_empirical_validation,recovery_service_high,hie_compatible,true,24,288,0.1428795823801712,0.055605381450515766,0.23327071905731434,5000,-0.004400267957733503,-0.008263872051015825,-0.0006698915918057569
developmental_synthetic_not_empirical_validation,recovery_service_high,simple_role_load,true,24,288,0.1469292954364281,0.05944085266235452,0.24413867629650984,5000,-0.0003505549014765985,-0.0006362275071563503,-8.458385480922271e-05
